tileset_id	style_id	draft	style_name
probablefutures.40107-hires-west-v4	cmsygqx83005s01r078168l3j	false	40107 hi-res -- v4
probablefutures.40107-hires-west-v4	cmsygqx83005s01r078168l3j	true	40107 hi-res -- v4
probablefutures.40107-west-v3	clr4pe2k400ds01p56a6jc3en	false	Days above 45°C (113°F) -- v3
probablefutures.40107-west-v3	clr4pe2k400ds01p56a6jc3en	true	Days above 45°C (113°F) -- v3
probablefutures.40108-east-v3	clyx4j534009o01p63e0x7rb5	false	Three hottest days - consecutive, ensemble maxmin -- v3
probablefutures.40108-east-v3	clyx4j534009o01p63e0x7rb5	true	Three hottest days - consecutive, ensemble maxmin -- v3
probablefutures.40108-west-v3	clyx4j534009o01p63e0x7rb5	false	Three hottest days - consecutive, ensemble maxmin -- v3
probablefutures.40108-west-v3	clyx4j534009o01p63e0x7rb5	true	Three hottest days - consecutive, ensemble maxmin -- v3
probablefutures.40110-east-v3	cmp3tkbqx000g01s9e7zlaoc1	false	Days above 50°C (122°F) -- v3
probablefutures.40110-east-v3	cmp3tkbqx000g01s9e7zlaoc1	true	Days above 50°C (122°F) -- v3
probablefutures.40110-west-v3	cmp3tkbqx000g01s9e7zlaoc1	false	Days above 50°C (122°F) -- v3
probablefutures.40110-west-v3	cmp3tkbqx000g01s9e7zlaoc1	true	Days above 50°C (122°F) -- v3
probablefutures.40201-diff-east-v4	cmt04k6wt000101sgejh5d5q3	false	40201 diff -- v4
probablefutures.40201-diff-east-v4	cmt04k6wt000101sgejh5d5q3	true	40201 diff -- v4
probablefutures.40201-diff-p02-east-v4	cmt04k6wt000101sgejh5d5q3	false	40201 diff -- v4
probablefutures.40201-diff-p02-east-v4	cmt04k6wt000101sgejh5d5q3	true	40201 diff -- v4
probablefutures.40201-diff-p02-west-v4	cmt04k6wt000101sgejh5d5q3	false	40201 diff -- v4
probablefutures.40201-diff-p02-west-v4	cmt04k6wt000101sgejh5d5q3	true	40201 diff -- v4
probablefutures.40201-diff-p08-east-v4	cmt04k6wt000101sgejh5d5q3	false	40201 diff -- v4
probablefutures.40201-diff-p08-east-v4	cmt04k6wt000101sgejh5d5q3	true	40201 diff -- v4
probablefutures.40201-diff-p08-west-v4	cmt04k6wt000101sgejh5d5q3	false	40201 diff -- v4
probablefutures.40201-diff-p08-west-v4	cmt04k6wt000101sgejh5d5q3	true	40201 diff -- v4
probablefutures.40201-diff-west-v4	cmt04k6wt000101sgejh5d5q3	false	40201 diff -- v4
probablefutures.40201-diff-west-v4	cmt04k6wt000101sgejh5d5q3	true	40201 diff -- v4
probablefutures.40201-east-v1	cl59pelwc000014lggv1m6lg2	false	Average nighttime temperature -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40201-east-v1	cl59pelwc000014lggv1m6lg2	true	Average nighttime temperature -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40201-east-v2	cle5iyoyr001k01q9lzpcqhoh	false	Average nighttime temperature -- v2
probablefutures.40201-east-v2	cle5iyoyr001k01q9lzpcqhoh	true	Average nighttime temperature -- v2
probablefutures.40201-east-v3	clhzyf384028601r0br6g94y6	false	Average nighttime temperature -- v3
probablefutures.40201-east-v3	clhzyf384028601r0br6g94y6	true	Average nighttime temperature -- v3
probablefutures.40201-era5-east-v4	cmtcsmg04001r01pcegincba6	false	40201 era5 -- v4
probablefutures.40201-era5-east-v4	cmtcsmg04001r01pcegincba6	true	40201 era5 -- v4
probablefutures.40201-era5-west-v4	cmtcsmg04001r01pcegincba6	false	40201 era5 -- v4
probablefutures.40201-era5-west-v4	cmtcsmg04001r01pcegincba6	true	40201 era5 -- v4
probablefutures.40201-hires-east-v4	cmsykth82009v01sd45krfjur	false	40201 hi-res -- v4
probablefutures.40201-hires-east-v4	cmsykth82009v01sd45krfjur	true	40201 hi-res -- v4
probablefutures.40201-hires-p02-east-v4	cmsykth82009v01sd45krfjur	false	40201 hi-res -- v4
probablefutures.40201-hires-p02-east-v4	cmsykth82009v01sd45krfjur	true	40201 hi-res -- v4
probablefutures.40201-hires-p02-west-v4	cmsykth82009v01sd45krfjur	false	40201 hi-res -- v4
probablefutures.40201-hires-p02-west-v4	cmsykth82009v01sd45krfjur	true	40201 hi-res -- v4
probablefutures.40201-hires-p08-east-v4	cmsykth82009v01sd45krfjur	false	40201 hi-res -- v4
probablefutures.40201-hires-p08-east-v4	cmsykth82009v01sd45krfjur	true	40201 hi-res -- v4
probablefutures.40201-hires-p08-west-v4	cmsykth82009v01sd45krfjur	false	40201 hi-res -- v4
probablefutures.40201-hires-p08-west-v4	cmsykth82009v01sd45krfjur	true	40201 hi-res -- v4
probablefutures.40201-hires-west-v4	cmsykth82009v01sd45krfjur	false	40201 hi-res -- v4
probablefutures.40201-hires-west-v4	cmsykth82009v01sd45krfjur	true	40201 hi-res -- v4
probablefutures.40201-west-v1	cl59pelwc000014lggv1m6lg2	false	Average nighttime temperature -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40201-west-v1	cl59pelwc000014lggv1m6lg2	true	Average nighttime temperature -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40201-west-v2	cle5iyoyr001k01q9lzpcqhoh	false	Average nighttime temperature -- v2
probablefutures.40201-west-v2	cle5iyoyr001k01q9lzpcqhoh	true	Average nighttime temperature -- v2
probablefutures.40201-west-v3	clhzyf384028601r0br6g94y6	false	Average nighttime temperature -- v3
probablefutures.40201-west-v3	clhzyf384028601r0br6g94y6	true	Average nighttime temperature -- v3
probablefutures.40202-east-v1	cl59y3a8v000714lgpllqj741	false	Frost nights -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40202-east-v1	cl59y3a8v000714lgpllqj741	true	Frost nights -- global RCM RegCM-REMO ensemble -- v1
probablefutures.40202-east-v2	cle5kmbpx001301ldiwi6k739	false	Frost nights -- v2
probablefutures.40202-east-v2	cle5kmbpx001301ldiwi6k739	true	Frost nights -- v2
probablefutures.40202-east-v3	clhzykaon02ar01qu0iah4r6c	false	Frost nights -- v3
probablefutures.40202-east-v3	clhzykaon02ar01qu0iah4r6c	true	Frost nights -- v3
probablefutures.40202-era5-east-v4	cmtcsrfpn001o01s13mxheptn	false	40202 era5 -- v4
probablefutures.40202-era5-east-v4	cmtcsrfpn001o01s13mxheptn	true	40202 era5 -- v4
probablefutures.40202-era5-west-v4	cmtcsrfpn001o01s13mxheptn	false	40202 era5 -- v4
probablefutures.40202-era5-west-v4	cmtcsrfpn001o01s13mxheptn	true	40202 era5 -- v4
probablefutures.40202-hires-east-v4	cmsnfxyp5011i01s9f1a45sfs	false	40202 hi-res -- v4
probablefutures.40202-hires-east-v4	cmsnfxyp5011i01s9f1a45sfs	true	40202 hi-res -- v4
probablefutures.40202-hires-p02-east-v4	cmsnfxyp5011i01s9f1a45sfs	false	40202 hi-res -- v4
probablefutures.40202-hires-p02-east-v4	cmsnfxyp5011i01s9f1a45sfs	true	40202 hi-res -- v4
probablefutures.40202-hires-p02-west-v4	cmsnfxyp5011i01s9f1a45sfs	false	40202 hi-res -- v4
